question,answer
新股中签，未及时缴款有什么影响？,您好，新股中签后您若因为资金不足，或者不想全部买入该股等等原因，可以选择部分缴款，但最少1股起。但您若连续12个月内累计出现3次中签但未足额缴纳认购资金情形的，将被列入限制申购名单，自结算参与人最近一次申报其放弃认购的次日起的180日（含次日）内不得参与网上新股申购。
新股申购有数量要求吗？,深圳新股申购必须是500股或者500股的整数倍，上海新股申购必须是1000股或者1000股的整数倍，并且可申购数量是客户申购额度与新股申购上限取校
新股申购有何注意事项？,新股申购有以下几点需注意： 1、需有新股申购额度才能参与打新； 2、申购创业板新股需要开通创业板权限； 3、同一位投资者，每只新股仅可申购一次； 4、新股申购，一经申报，不能撤单； 5、深市新股的申购数量要求为500或500股的整数倍，沪市为1000或1000股的整数倍，最大申购数量不得超过您账户对应市场的申购额度以及交易所规定的该新股的申购上限； 6、您可在T+1日查看是否有配号，有配号则说明操作成功；在T+2日可查看是否中签，若中签，需在当日下午4点前准备充足的资金在账户中缴款。
新股申购受限后，到期是否需办理解限手续？,6个月后自动解除限制，您无需到开户营业部办理。
新股申购市值会合并计算多个证券账户的吗？,同市场多个证券账户的市值是合并计算的。多个证券账户判断标准：T-2日日终，“账户持有人名称”、“有效身份证明文件号码”均相同。
新股申购时会冻结资金吗？,新股申购时无需缴款，待到T+2日（T日为新股申购日）查询中签结果，若您有中签，则需在T+2日16点前在账户上确保足够的资金用于缴款。
新股申购失败：错误代码:B01？,您好，有可能是您使用了多个证券账户进行新股申购。
新股申购可以撤单吗？,新股申购不能撤单，且每只新股以第一笔有效委托为准。
新股申购何时可以挂单?,"您好，新股申购时间深市是9:15-11:30,13:00-15:00；沪市是9:30-11:30,13:00-15:00。当新股申购代码导入系统后即可申购，如果您提前下单的，请在早上9：30后查询委托状态。"
新股申购额度超限的原因？,目前申购新股要求账户有对应市场的新股申购额度，没有额度是无法申购的。
新股申购的条件？,主要需要2个要求：首先是足额的可用资金、其次是准备好相应的市值。下面具体介绍一下： 1、新股申购预先缴款改为中签后再缴款。对此，业内人士普遍认为，按照持有股票的市值进行配售，而且不用预缴款，相当于持有流通市值的股民都有机会申购新股，但是中签率会更低； 2、三次中签不缴款挨罚调整后的规则，增加了“投资者连续12个月累计3次中签后不缴款，6个月内不能参与打新”的惩戒性措施； 3、低风险高收益一去不复返。新政规定，公开发行2000万股以下的小盘股发行，取消询价环节，由发行人和中介机构定价，新股发行完全市场化定价，这意味着即使中签新股，完全有破发可能，新股无风险12%收益的时代将一去不复返了。
新股申购的市值计算范围？,新股市值计算范围包括以下内容: 1、非限售A股股份（包括主板、中小板和创业板），包括信用证券账户的市值（信用账户融资买入及自有证券市值均计算）； 2、非限售A股停牌及暂停上市股份（按相应股票最近一个交易日的收盘价计算）； 3、发生司法冻结、质押，以及存在上市公司董监高人员交易限制的非限售A股股份； 4、新股申购中签的股份开始纳入市值计算的时间为：深圳：上市之日起计；上海：上市前一交易日起计。
新股申购的配号规则？,申购配号根据实际有效申购进行，每一有效申购单位配一个号，对所有有效申购单位按时间顺序连续配号。
新股申购的回拨机制？,根据《证券发行与承销管理办法》第十条，首次公开发行股票网下投资者申购数量低于网下初始发行量的，发行人和主承销商不得将网下发行部分向网上回拨，应当中止发行。网上投资者有效申购倍数超过50倍、低于100倍（含）的，应当从网下向网上回拨，回拨比例为本次公开发行股票数量的20%；网上投资者有效申购倍数超过100倍的，回拨比例为本次公开发行股票数量的40%。网上投资者申购数量不足网上初始发行量的，可回拨给网下投资者。
新股上市首日有涨跌幅限制吗？,您好，IPO新股上市首日无涨跌幅限制，但申报价格会有有效申报范围限制。
新股上市首日委托买入为何作废？,新股上市首日虽没有涨跌幅限制，但有有效竞价范围规定，超过有效竞价范围有可能会废单。
新股上市首日接受市价委托吗？,新股上市首日不接受市价委托。
新股上市前一交易日晚上能否提前下单？,您好，这个具体要看交易所是否已录入证券代码。若代码已被录入那么您可以尝试夜间委托，但需注意不要超过新股上市首日的报价范围。同时，请您于委托次交易日9点30分后查询委托状态。 温馨提示：夜间委托时间为晚上的21点后可下次一交易日的委托。
新股IPO网上发行制度有哪些修改？,您好，2016年1月5日，沪深交易所发布了《首次公开发行股票网上发行实施细则》，本次IPO网上发行制度修改为以下几点：1、取消新股申购预缴款，确定中签数量后再缴款；2、投资者应自主表达申购意向，不得全权委托证券公司申购；3、投资者连续12个月内累计出现3次中签但未足额缴纳认购资金情形的，将被列入限制申购名单，自其最近一次放弃认购次日起的180日（含次日）内不得参与网上新股申购；4、因投资者资金不足而放弃认购的股份，由主承销商包销或根据发行人和主承销商事先确定的其他方式处理；5、公开发行股票数量在2000万股（含）以下且无老股份转让计划的，应当直接定价全部向网上投资者发行。
未办理外币银证转账业务的客户如何取款？,外币取款流程：客户本人带齐证件和有外币结算功能的银行账户在交易时间到开户营业部柜台申请提款，营业部开转账支票给客户，客户带齐证件、银行账户、支票等到银行网点先将支票款项入账至银行账户，然后再根据银行流程从银行账户中提款。（详细操作流程请联系营业部确认） 备注：若您开户营业部已开通外币银证转账业务，建议您到开户营业部开通外币银证转账业务，方便以后的外币资金存取。
为什么资金可用不可取？,您好！资金可用不可取，常见于以下原因： 1、当天卖出A股股票的资金，当天可以用于继续交易，但不可取，需下一交易日才可取。 2、您参与了债券逆回购，当天到期的资金可以用于继续交易，但不可取，需下一交易日才可取。 3、您操作了现金增利产品登记，每天收市后，系统会自动将您账户上符合条件的资金划扣参与现金增利产品。 具体原因请您致电95575转9人工为您查询。
为何账户有资金无法转出？,您好！资金无法转出的原因有多种，有可能是当天卖股票的钱，当天无法转到银行，需下一个交易日才可转出。如果可取资金无法转出，常见原因为身份证到期未更新，建议您拨打95575转9人工为您详细查询。
忘记资金密码怎么办？,忘记资金密码，需要您本人在交易时间，携带本人有效身份证件到营业部柜台办理资金密码重置。
忘记交易密码怎么办？,因交易密码非常重要，目前忘记交易密码需要本人在交易时间携带有效身份证件到营业部柜台重新设置密码，暂不支持在网上办理。
网下发行新股有何要求？,网下发行新股有以下要求： 1、已在中国证券业协会备案——在初步询价开始日前一交易日12:00前完成； 2、已开通网下发行电子平台数字证书（CA证书）——在初步询价前完成， 3、符合市值要求——X-2日（含，X为初步询价开始日）前20个交易日的日均非限售A股市值不低于1000万元，且不低于发行人和主承销商事先确定并公告的市值要求。（市值计算规则与网上发行市值计算规则一致） 4、发行人及主承销商规定的其它条件。
网下打新资格是否支持在多家券商间使用？,可以申购其他券商承销的新股，您可任选一家券商为您申请网下打新资格。原则上该沪、深证书可分别参与全市场的网下申购（在符合主销商要求的情况下）。
网下打新申报价格有什么规定？,您好，网下打新申报价格规定如下：每个投资者只能有一个报价，网下投资者报价后，主承销商和发行人应当剔除拟申购：总量中报价最高的部分，剔除部分不得低于所有网下投资者拟申购总量的10%，然后根据剩余报价及拟申购数量协商确定发行价格；当最高申报价格与确定的发行价格相同时，对该价格的申报可不再剔除，剔除比例可低于10%。剔除部分不得参与网下申购。
网下打新缴款账号是否需与三方存管银行账号一致？,您好，缴款银行账号可以是三方存管的银行账号，也可以使用非三方存管的银行账号，但须确认都是投资者本人的银行账号，并准确填写开户银行名称、银行账户名称、银行账户号、联行号\大额支付号。
网下打新的备案条件？,网下打新的备案条件如下？： （一）具备一定的股票投资经验。机构投资者应当依法设立、持续经营时间达到两年（含）以上，开展A股投资业务时间达到两年（含）以上；个人投资者应具备五年（含）以上的A股投资经验。 （二）申请日在广发证券账户托管净资产（以打印对账单为准，不含融资融券负债）不低于1000万元人民币。 （三）完成B类专业投资者认证——按照《关于加强专业投资者适当性管理的通知》。 （四）具有良好的信用记录。最近12个月未受到刑事处罚、未因重大违法违规行为被相关监管部门给予行政处罚、采取监管措施。 （五）具备必要的定价能力。机构投资者应具有相应的研究力量、有效的估值定价模型、科学的定价决策制度和完善的合规风控制度。 （六）监管部门、协会、证券公司要求的其他条件。
网上委托权限如何取消？,您好，您可以在交易时间通过以下方式取消网上委托权限： 1、携带身份证明文件在交易时间到开户营业部柜台办理网上委托权限取消手续； 2、拨打我司客服热线95575（如无法拨通，可拨打02095575）按9转人工申请取消网上委托权限。
网上委托权限如何开通？,您好，您可以在交易时间通过以下方式开通网上委托权限： 1、携带身份证明文件到开户营业部柜台办理网上委托权限开通手续； 2、拨打我司客服热线95575（如无法拨通，可拨打02095575）按9转人工申请开通网上委托权限。
网上申购的数量有何限制？,您好，深圳市场新股申购数量以500股的整数倍进行申购，上海市场新股申购数量以1000股的整数倍进行申购，且不得超过账户对应的新股申购额度，也不得超过发行公告规定的申购上限。（比如您查询账户深圳市场有2万股申购额度，但某只新股申购上限1.8万股，那您申购某只新股上限为1.8万股）
网上开户佣金是多少？,您好，网上开户提供不同的佣金套餐供选择，最低可选择万2.5的佣金套餐。
外币证券转银行限额,外币证券转银行各营业部取款限额不一样，如果您转取的金额较大，有可能需要提前预约，转账前请您咨询开户营业部了解。
投诉上市公司什么样的证据合法有效？,您好，请您致电中国证监会热线12386详细咨询。
同一新股可多次申购吗？,您好，同一只新股每一个投资者只能申购一次，重复申购的一律视为无效申购，以第一笔有效委托为准。对于同一日多只新股同时发行，市值额度可重复使用，但每只新股只能操作一次。 （例：您有上海市场1000股的额度，上海市场今天发行A、B两只新股，则您可以同时申购A股票1000股，B股票1000股。）
同一客户可以开通多个港股通交易权限吗？,不同券商的沪A，可以开多个港股通权限。同一客户编号下无法开两个港股通权限，分别在不同营业部开户的，可以分别开通港股通权限但必须满足港股通开通的条件。
同一个账号允许在不同的手机上同时登录吗？,同一交易账号是可以在不同手机上同时登录交易。
手机账户密码忘记了怎么办,您可通过易淘金网站首页登录界面下方的“忘记密码”操作密码重置。
深证成份指数成份股多长时间调整一次？,您好，根据《深证成份指数系列编制方案》规定：成份股的定期调整定于每年1月和7月的第一个交易日实施，每年5月和11月定期对深证成份指数成份股的代表性进行考察，考察期为半年。每年1月份定期调整的考察期为上一年5月1日至上一年10月31日，每年7月份定期调整的考察期为上一年11月1日至当年4月30日。根据考察结果审议是否更换成份股。
深圳证券交易所证券代码编制原则是什么？,深交所证券代码采用六位数的数字型编制方法，首位代码为证券品种区别代码。其中0字开头的代码为A股证券及其衍生品种的证券代码；1字开头的代码为基金、债券及其衍生品种的证券代码；2字开头的代码为B股股票及其衍生品种的证券代码；3字开头的代码为创业板股票及其衍生品种、指数、统计指标、网络投票的证券代码；4字开头的代码为代办转让股票等的证券代码。
深圳市场的债券可以采取的交易方式？,您好，深圳市场的债券的交易方式分为：全价交易和净价交易。
深圳市场的新股配号为何有小数点？,您好，深圳结算优化二期上线之后，深圳登记公司下发的新股配号数据有扩位，即深圳登记公司给我司的数据是带小数点的。
深圳市场大宗交易的条件？,您好，深市证券买卖符合以下条件的，可以采用大宗交易方式： 1、A股单笔交易数量不低于30万股，或者交易金额不低于200万元人民币； 2、B股单笔交易数量不低于3万股，或者交易金额不低于20万元港币； 3、基金单笔交易数量不低于200万份，或者交易金额不低于200万元人民币； 4、债券单笔交易数量不低于5千张，或者交易金额不低于50万元人民币。
深圳货币ETF收益计算规则,深圳货币ETF收益算尾不算头。每日计算，按月支付。T日申购或者买入，T+1日开始计算收益；T日赎回或者卖出，T+1日开始不计算收益。
深圳大宗交易的成交确认时间？,权益类证券协议大宗交易的成交确认时间为每个交易日15︰00至15︰30；债券协议大宗交易的成交确认时间为每个交易日9︰15至11︰30、13︰00至15︰30
深市中小企业板块A股证券代码是多少？,您好，深交所中小企业板块A股证券代码的首三位代码为002，后三位代码按顺序编制。
